"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2012-05-25,"PacNW Blue B00",0,"Normandy Park FC White B00",8,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-25,"WA Rush Swoosh B00",1,"PacNW Maroon B00",7,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-26,"Crossfire Premier B B00",12,"WA Rush Swoosh B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-05-26,"Normandy Park FC White B00",4,"WA Rush Nike B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-26,"PacNW Maroon B00",1,"Crossfire Premier B B00",8,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-05-26,"WA Rush Nike B00",10,"PacNW Blue B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"Crossfire Premier B B00",0,"WA Rush Nike B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"Normandy Park FC White B00",4,"PacNW Maroon B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"PacNW Maroon B00",7,"PacNW Blue B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"WA Rush Nike B00",5,"WA Rush Swoosh B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-28,"Normandy Park FC White B00",0,"WA Rush Nike B00",2,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-06-08,"WPFC Navy B00",1,"Westsound FC Red B00",5,"Rainer Challenge Copa","neutral","neutral","Unk"
2012-06-08,"Tacoma United Pumas B00",3,"PacNW Blue B00",2,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-08,"Crossfire Premier A B01",5,"Seattle United Samba B00",1,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-08,"Crossfire Premier B B00",10,"PacNW Maroon B00",0,"Rainer Challenge Samba","neutral","neutral","Unk"
2012-06-08,"WPFC Black B00",2,"Seattle United Tango B00",0,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"Seattle United Copa B00",0,"Crossfire Premier A B00",3,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"WA Rush Nike B00",2,"WPFC White B00",0,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"Snohomish United Black B00",0,"Crossfire Premier C B00",0,"Snohomish United Invitational","neutral","neutral","Grass"
2012-06-08,"Snohomish United Red B00",1,"FC Alliance B B00",6,"Snohomish United Invitational","neutral","neutral","Grass"
2012-06-09,"Seattle United Samba B00",4,"WPFC Navy B00",0,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-09,"Westsound FC Red B00",3,"Tacoma United Pumas B00",0,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-09,"PacNW Blue B00",1,"WPFC Navy B00",2,"Rainer Challenge Copa","neutral","neutral","Unk"
2012-06-09,"Seattle United Samba B00",7,"Tacoma United Pumas B00",0,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-09,"PacNW Blue B00",0,"Crossfire Premier A B01",5,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-09,"Westsound FC Red B00",0,"Crossfire Premier A B01",2,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-09,"PacNW Maroon B00",1,"WPFC Black B00",1,"Rainer Challenge Samba","neutral","neutral","Unk"
2012-06-09,"Seattle United Tango B00",3,"Crossfire Premier B B00",5,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-09,"Crossfire Premier A B00",6,"WA Rush Nike B00",1,"Rainer Challenge Samba","neutral","neutral","Turf"
2012-06-09,"WPFC White B00",0,"Seattle United Copa B00",6,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-09,"Crossfire Premier B B00",0,"WPFC Black B00",6,"Rainer Challenge Samba","neutral","neutral","Unk"
2012-06-09,"Seattle United Copa B00",4,"WA Rush Nike B00",3,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-09,"PacNW Maroon B00",0,"Seattle United Tango B00",2,"Rainer Challenge Samba","neutral","neutral","Turf"
2012-06-09,"Crossfire Premier A B00",9,"WPFC White B00",0,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-09,"3 Rivers Black B00",7,"3 Rivers Killoy B00",0,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-09,"SVFC United Crump B00",2,"Cobra Deportivo Teca B00",16,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-09,"3 Rivers Black B00",4,"Cobra Deportivo Teca B00",3,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-09,"3 Rivers Killoy B00",4,"SVFC United Crump B00",3,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-09,"Crossfire Premier C B00",3,"Snohomish United Red B00",0,"Snohomish United Invitational","neutral","neutral","Grass"
2012-06-10,"Crossfire Premier A B01",6,"Seattle United Samba B00",0,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-10,"WPFC Black B00",1,"Seattle United Copa B00",2,"Rainer Challenge Samba","neutral","neutral","Turf"
2012-06-10,"Crossfire Premier A B00",5,"Crossfire Premier B B00",1,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-10,"Seattle United Copa B00",0,"Crossfire Premier A B00",1,"Rainer Challenge Samba","neutral","neutral","Unk"
2012-06-10,"3 Rivers Black B00",7,"SVFC United Crump B00",0,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-10,"3 Rivers Killoy B00",0,"Cobra Deportivo Teca B00",6,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-10,"3 Rivers Black B00",0,"Cobra Deportivo Teca B00",4,"Sagebrush Classic","neutral","neutral","Grass"
2012-06-10,"Snohomish United Black B00",5,"FC Alliance B B00",1,"Snohomish United Invitational","neutral","neutral","Grass"
2012-06-15,"Blackhills FC Black B00",0,"WPFC Fury Black B00",2,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-15,"FC Alliance B B00",5,"Seattle United W Blue B00",2,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-15,"ISC Gunners B B00",3,"FWFC Blue B00",0,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-15,"Nortac Colibri B00",7,"SCORE Eagles Red B00",0,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-15,"Nortac Cosmos B00",0,"Highline Premier Blue B00",9,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"NW United Martin B00",3,"Whatcom Rangers Gold B00",1,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-16,"Tynecastle FC B00",2,"Whatcom Rangers Gold B00",1,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-16,"NW United Martin B00",0,"TSS Academy Datillo B00",4,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-16,"TSS Academy Datillo B00",6,"Tynecastle FC B00",0,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-16,"Crossfire Select Merrick B00",1,"MVP Rapids Navy B00",2,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-16,"Eastside FC Grey B00",1,"MVP Rapids Navy B00",6,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-16,"Crossfire Select Merrick B00",1,"Lynden Action B00",1,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-16,"Lynden Action B00",10,"Eastside FC Grey B00",3,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-16,"Blackhills FC Black B00",5,"ISC Gunners B B00",4,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"FC Alliance B B00",5,"Nortac Colibri B00",4,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"Highline Premier Blue B00",10,"Blackhills FC Black B00",0,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"ISC Gunners B B00",0,"Nortac Cosmos B00",3,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"ISC Gunners C B00",0,"Nortac Colibri B00",10,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"SCORE Eagles Red B00",1,"FC Alliance B B00",5,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"SCORE Eagles Red B00",0,"Seattle United W Blue B00",6,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"Seattle United W Blue B00",6,"ISC Gunners C B00",3,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-16,"WPFC Fury Black B00",0,"Highline Premier Blue B00",2,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-17,"Eastside FC Grey B00",1,"Crossfire Select Merrick B00",6,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-17,"Tynecastle FC B00",4,"NW United Martin B00",0,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-17,"Whatcom Rangers Gold B00",1,"TSS Academy Datillo B00",3,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-17,"TSS Academy Datillo B00",8,"Tynecastle FC B00",1,"Skagit Firecracker Gold","neutral","neutral","Grass"
2012-06-17,"Eastside FC Grey B00",1,"Crossfire Select Merrick B00",6,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-17,"MVP Rapids Navy B00",4,"Crossfire Select Merrick B00",1,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-17,"MVP Rapids Navy B00",4,"Lynden Action B00",1,"Skagit Firecracker Silver","neutral","neutral","Grass"
2012-06-17,"Highline Premier Blue B00",3,"Nortac Colibri B00",1,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-17,"Highline Premier Blue B00",4,"FC Alliance B B00",3,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-17,"ISC Gunners C B00",1,"SCORE Eagles Red B00",3,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-17,"Nortac Cosmos B00",1,"FC Alliance B B00",6,"Starfire Spring Classic","neutral","neutral","Grass"
2012-06-22,"Eastside FC White B00",2,"Wenatchee Fire Black B00",1,"Baker Blast","neutral","neutral","Grass"
2012-06-22,"SSC Shadow B B00",2,"Storm King B00",3,"Baker Blast","neutral","neutral","Grass"
2012-06-22,"Surrey United 2000B",3,"Whatcom Rangers Gold B00",2,"Baker Blast","neutral","neutral","Grass"
2012-06-23,"Eastside FC White B00",3,"Whatcom Rangers Gold B00",2,"Baker Blast","neutral","neutral","Grass"
2012-06-23,"Eastside FC White B00",0,"Surrey United 2000B",2,"Baker Blast","neutral","neutral","Grass"
2012-06-23,"SSC Shadow B B00",2,"WA Rush Swoosh B00",3,"Baker Blast","neutral","neutral","Grass"
2012-06-23,"Wenatchee Fire Black B00",0,"Surrey United 2000B",5,"Baker Blast","neutral","neutral","Grass"
2012-06-23,"Crossfire Premier A B00",9,"SSC Shadow A B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"Crossfire Premier B B00",3,"FC Alliance A B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"Eastside FC Red B00",4,"Crossfire Premier B B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"FC Alliance A B00",5,"Tynecastle FC Outliers B00",3,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"ISC Gunners A B00",5,"NWN Red B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"NWN Red B00",1,"Crossfire Premier A B00",14,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"SSC Shadow A B00",3,"ISC Gunners A B00",2,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-23,"Tynecastle FC Outliers B00",0,"Eastside FC Red B00",4,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-24,"Seattle United Samba B00",2,"Wenatchee Fire Black B00",0,"Baker Blast","neutral","neutral","Grass"
2012-06-24,"Surrey United 2000B",3,"Eastside FC White B00",2,"Baker Blast","neutral","neutral","Grass"
2012-06-24,"WAFC Juventus B00",5,"WAFC Real Madrid B00",1,"Capital Cup","neutral","neutral","Unk"
2012-06-24,"Crossfire Premier A B00",0,"ISC Gunners A B00",1,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-24,"Crossfire Premier A B00",2,"Eastside FC Red B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-24,"Eastside FC Red B00",1,"FC Alliance A B00",0,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-24,"NWN Red B00",1,"SSC Shadow A B00",3,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-24,"Tynecastle FC Outliers B00",1,"Crossfire Premier B B00",3,"US Club NW Regionals","neutral","neutral","Grass"
2012-06-30,"Mercer Island FC Gunners B00",2,"NK Ballistic B00",3,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-06-30,"Slammers Orange B00",1,"Mercer Island FC Gunners B00",7,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-06-30,"Slammers Orange B00",2,"TUSK Vipers B00",1,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-06-30,"TUSK Vipers B00",4,"NK Ballistic B00",4,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-07-01,"Mercer Island FC Gunners B00",3,"TUSK Vipers B00",4,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-07-01,"NK Ballistic B00",3,"Slammers Orange B00",2,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-07-01,"NK Ballistic B00",3,"TUSK Vipers B00",2,"Rainier Valley Slammers","neutral","neutral","Grass"
2012-07-06,"Corvallis United Reign B00",5,"WSA Rangers B00",0,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-06,"Vancouver Timbers Red B00",5,"Westside Timbers Copa TS B00",0,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-06,"WSA Rangers B00",0,"Westside Timbers Samba B00",7,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-06,"Westside Timbers Mundial B00",5,"Oregon City Legacy B00",0,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-06,"Vancouver Timbers Rojo B00",0,"Eastside Timbers Red B00",5,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-06,"Oregon Rush Swoosh B00",1,"Westside Timbers Mundial B00",0,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-06,"WUSC Boca Jrs. B00",1,"Vancouver Timbers Rojo B00",3,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-06,"FC Alliance B B00",2,"Eastside FC White B00",2,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-06,"MRFC Blue B00",0,"FC Alliance A B00",10,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-06,"Normandy Park FC White B00",6,"Eastside FC Blue B00",0,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-06,"Tynecastle Select (mix) B00",5,"Harbor Premier Select B00",0,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"Central WA SA Navy B00",4,"Vancouver Timbers Red B00",1,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-07,"Westside Timbers Samba B00",3,"Corvallis United Reign B00",4,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-07,"Westside Timbers Copa TS B00",0,"Central WA SA Navy B00",9,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-07,"WSA Rangers B00",0,"Vancouver Timbers Red B00",4,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-07,"Westside Timbers Copa TS B00",2,"Westside Timbers Samba B00",3,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-07,"Eastside Timbers Red B00",4,"WUSC Boca Jrs. B00",0,"Clash at the Border Silver","neutral","neutral","Turf"
2012-07-07,"Oregon City Legacy B00",1,"Oregon Rush Swoosh B00",7,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-07,"WUSC Boca Jrs. B00",1,"Westside Timbers Mundial B00",2,"Clash at the Border Silver","neutral","neutral","Turf"
2012-07-07,"Oregon City Legacy B00",1,"Vancouver Timbers Rojo B00",4,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-07,"Eastside FC Blue B00",1,"Tynecastle Select (mix) B00",5,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"Eastside FC Blue B00",7,"FC Alliance C B00",0,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"Eastside FC White B00",5,"Whatcom Rangers Gold B00",0,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"FC Alliance B B00",7,"Whatcom Rangers Gold B00",4,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"FC Alliance A B00",6,"Seattle United Tango B00",1,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"Harbor Premier Select B00",1,"Normandy Park FC White B00",10,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"MRFC Blue B00",1,"Seattle United Tango B00",10,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-07,"Normandy Park FC White B00",9,"FC Alliance C B00",0,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-08,"Westside Timbers Copa TS B00",1,"WSA Rangers B00",2,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-08,"Corvallis United Reign B00",0,"Westside Timbers Samba B00",0,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-08,"Corvallis United Reign B00",0,"Vancouver Timbers Red B00",1,"Clash at the Border Gold","neutral","neutral","Turf"
2012-07-08,"Central WA SA Navy B00",8,"Westside Timbers Samba B00",2,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-08,"Vancouver Timbers Red B00",3,"Central WA SA Navy B00",4,"Clash at the Border Gold","neutral","neutral","Grass"
2012-07-08,"Oregon Rush Swoosh B00",1,"Westside Timbers Mundial B00",2,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-08,"Oregon City Legacy B00",0,"WUSC Boca Jrs. B00",2,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-08,"Eastside Timbers Red B00",4,"Westside Timbers Mundial B00",1,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-08,"Oregon Rush Swoosh B00",0,"Vancouver Timbers Rojo B00",1,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-08,"Eastside Timbers Red B00",4,"Vancouver Timbers Rojo B00",2,"Clash at the Border Silver","neutral","neutral","Grass"
2012-07-08,"Eastside FC White B00",1,"Tynecastle Select (mix) B00",2,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-08,"FC Alliance A B00",3,"Normandy Park FC White B00",2,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-08,"FC Alliance A B00",3,"Tynecastle Select (mix) B00",4,"Sounders FC Cup","neutral","neutral","Grass"
2012-07-12,"Eastside FC Grey B00",4,"Mercer Island FC Gunners B00",8,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-12,"Kent United White B00",4,"Newport FC Cosmos B00",3,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-12,"Seattle United W White B00",2,"Impact FC Black B00",0,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-12,"Tynecastle FC Outliers B00",2,"Kent United Green B00",2,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-13,"Crossfire Select Button B00",1,"Tynecastle FC Outliers B00",4,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-13,"FC Kent Black B00",0,"Eastside FC Grey B00",2,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-13,"Kent United Green B00",6,"Seattle United W White B00",0,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-13,"Kent United Green B00",6,"Impact FC Black B00",0,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-13,"Mercer Island FC Gunners B00",3,"Newport FC Cosmos B00",0,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-13,"Mercer Island FC Gunners B00",1,"Kent United White B00",0,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-13,"Newport FC Cosmos B00",5,"FC Kent Black B00",0,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-13,"Seattle United W White B00",1,"Crossfire Select Button B00",4,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-13,"RSA Elite Diamondbacks B00",1,"Nortac Cosmos B00",0,"King of the Hill","neutral","neutral","Unk"
2012-07-13,"Sparta Red B00",0,"RSA Elite Diamondbacks B00",4,"King of the Hill","neutral","neutral","Unk"
2012-07-14,"Crossfire Select Button B00",1,"Kent United Green B00",3,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-14,"Eastside FC Grey B00",0,"Kent United White B00",1,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"FC Kent Black B00",1,"Mercer Island FC Gunners B00",6,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"Impact FC Black B00",0,"Tynecastle FC Outliers B00",6,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"Impact FC Black B00",0,"Crossfire Select Button B00",1,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"Kent United White B00",1,"FC Kent Black B00",1,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"Newport FC Cosmos B00",3,"Eastside FC Grey B00",3,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"Tynecastle FC Outliers B00",5,"Seattle United W White B00",0,"Kent Cornucopia Cup","neutral","neutral","Grass"
2012-07-14,"MVP Rapids Navy B00",0,"Sparta White B00",1,"King of the Hill","neutral","neutral","Unk"
2012-07-14,"Nortac Cosmos B00",11,"Sparta Red B00",0,"King of the Hill","neutral","neutral","Unk"
2012-07-14,"Nortac Cosmos B00",8,"MVP Rapids Navy B00",1,"King of the Hill","neutral","neutral","Unk"
2012-07-14,"Sparta White B00",5,"Sparta Red B00",4,"King of the Hill","neutral","neutral","Unk"
2012-07-15,"Mercer Island FC Gunners B00",3,"Kent United White B00",0,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-15,"Tynecastle FC Outliers B00",2,"Kent United Green B00",1,"Kent Cornucopia Cup","neutral","neutral","Turf"
2012-07-15,"RSA Elite Diamondbacks B00",8,"Sparta White B00",0,"King of the Hill","neutral","neutral","Unk"
2012-07-20,"PCU Red B00",0,"Vancouver Timbers Red B00",5,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"WAFC Juventus B00",3,"NWSSA FC Beavers B00",6,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"Vancouver Timbers Red B00",8,"NWSSA FC Beavers B00",3,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"PCU Red B00",0,"WAFC Juventus B00",9,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"WAFC Real Madrid B00",1,"Eastside FC Red B00",4,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"Westside Timbers Copa B00",6,"Sting SC Manchester B00",1,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"Eastside FC Red B00",9,"Sting SC Manchester B00",0,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"WAFC Real Madrid B00",2,"Westside Timbers Copa B00",3,"Beaverton Cup Gold","neutral","neutral","Grass"
2012-07-20,"AR Nike B01",5,"CFC United B00",4,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"Silverton SA Chelsea B00",1,"NEU Rangers B00",4,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"FC Salmon Creek Juventus B00",4,"AR Nike B01",1,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"Silverton SA Chelsea B00",3,"CFC United B00",2,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"Westside Timbers Samba B00",3,"Eastside Timbers Black B00",6,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"OSA Thunder B00",4,"EMFC Rovers Blue B00",1,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"3 Rivers Black B00",3,"Westside Timbers Samba B00",1,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"OSA Thunder B00",0,"Eastside Timbers Black B00",4,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-20,"HSC Lokomotiv B00",9,"PCU White B00",0,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-20,"Westside Timbers Mundial B00",9,"PCU Black B00",0,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-20,"Westside Timbers Copa TS B00",1,"HSC Lokomotiv B00",6,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-20,"Westside Timbers Mundial B00",8,"PCU White B00",0,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-21,"NWSSA FC Beavers B00",7,"PCU Red B00",1,"Beaverton Cup Gold","neutral","neutral","Unk"
2012-07-21,"Vancouver Timbers Red B00",6,"WAFC Juventus B00",1,"Beaverton Cup Gold","neutral","neutral","Unk"
2012-07-21,"Sting SC Manchester B00",0,"WAFC Real Madrid B00",3,"Beaverton Cup Gold","neutral","neutral","Unk"
2012-07-21,"Eastside FC Red B00",3,"Westside Timbers Copa B00",0,"Beaverton Cup Gold","neutral","neutral","Unk"
2012-07-21,"NEU Rangers B00",3,"FC Salmon Creek Juventus B00",4,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-21,"AR Nike B01",0,"Silverton SA Chelsea B00",7,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-21,"CFC United B00",2,"NEU Rangers B00",2,"Beaverton Cup Silver Blue","neutral","neutral","Unk"
2012-07-21,"FC Salmon Creek Juventus B00",1,"Silverton SA Chelsea B00",6,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-21,"EMFC Rovers Blue B00",2,"3 Rivers Black B00",3,"Beaverton Cup Silver Blue","neutral","neutral","Unk"
2012-07-21,"Westside Timbers Samba B00",2,"OSA Thunder B00",5,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-21,"Eastside Timbers Black B00",7,"EMFC Rovers Blue B00",2,"Beaverton Cup Silver Blue","neutral","neutral","Unk"
2012-07-21,"3 Rivers Black B00",3,"OSA Thunder B00",1,"Beaverton Cup Silver Blue","neutral","neutral","Grass"
2012-07-21,"PCU Black B00",0,"Westside Timbers Copa TS B00",2,"Beaverton Cup Silver Red","neutral","neutral","Unk"
2012-07-21,"HSC Lokomotiv B00",1,"Westside Timbers Mundial B00",1,"Beaverton Cup Silver Red","neutral","neutral","Unk"
2012-07-21,"Westside Timbers Copa TS B00",0,"Westside Timbers Mundial B00",3,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-21,"PCU White B00",1,"PCU Black B00",1,"Beaverton Cup Silver Red","neutral","neutral","Grass"
2012-07-21,"Central City Breakers FC Blue Hawks 2001B",6,"SSC Shadow B B00",0,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Central City Breakers FC Blue Hawks 2001B",3,"WA Rush Swoosh B00",0,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Central City Breakers FC Azaad 2001B",0,"WPFC Black B00",3,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Central City Breakers FC Azaad 2001B",4,"SSC Shadow A B00",1,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Crossfire Premier B B00",6,"WA Rush Nike B00",2,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Crossfire Premier B B00",3,"Tynecastle Select (mix) B00",2,"Nike Crossfire Challenge","neutral","neutral","Grass"
2012-07-21,"Crossfire Premier A B01",7,"WSA Rangers B00",0,"Nike Crossfire Challenge","neutral","neutral","Grass"
