name,age,birth.dates,region,city,club,fall.league
Coastal FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Coastal FC,BCSPL U13fin
Coquitlam Metro Ford Millennium 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Fusion FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Fusion FC,BCSPL U13fin
KSYSA Warriors Fogal 2001B,2001B,Jan 2000 to Dec 2000,BC,Kootenay South,KSYSA Warriors,
Magnuson Ford Mariners FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Magnuson Ford Mariners FC,BCSPL U13fin
Mountain United 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Nelson United Selects 2001B,2001B,Jan 2000 to Dec 2000,BC,Nelson,Nelson Selects,
Surrey United 2000B,2000B,Jan 2000 to Dec 2000,BC,,Surrey United SC,BCSPL U13fin
Thompson Okanagan FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Vancouver Island Wave 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Central City Breakers FC Azaad 2001B,2001B,Jan 2001 to Dec 2001,BC,,Central City Breakers FC,Dist 5
Central City Breakers FC Blue Hawks 2001B,2001B,Jan 2001 to Dec 2001,BC,,Central City Breakers FC,Dist 5
3 Rivers Black B00,B00,Aug 2001 to Jul 2000,WA,Pasco,3 Rivers SC,RCL D3 U12
3 Rivers Killoy B00,B00,Aug 2001 to Jul 2000,WA,Pasco,3 Rivers SC,D6 Umbro U12
Aloha United Rangers B00,B00,Aug 2001 to Jul 2000,OR,,Aloha United,OPL 2nd Div U12
ASE Stephanson B00,B00,Aug 2001 to Jul 2000,WA,Pasco,Academy of Soccer Excellence,PSPL In-Copa U12
Azul FC Manchester United B00,B00,Aug 2001 to Jul 2000,OR,,,
BIFC Blue B00,B00,Aug 2001 to Jul 2000,WA,Bainbridge Island,Bainbridge Island FC,NPSL D1 U12
